start,end,bars,high,low,range_height,adjacent_overlap_count,adjacent_pairs,adjacent_overlap_ratio,anchor_context
2026-05-13 21:50:00,2026-05-13 22:02:00,13,4685.76,4678.25,7.510000000000218,12,12,1.0,bear|outside|buy_trigger|sell_trigger
2026-05-13 21:51:00,2026-05-13 22:03:00,13,4686.16,4678.25,7.9099999999998545,12,12,1.0,bull|doji|bull_reversal|sell_trigger
2026-05-13 21:52:00,2026-05-13 22:04:00,13,4686.16,4678.76,7.399999999999636,12,12,1.0,bull|bear_reversal|buy_trigger
2026-05-13 21:53:00,2026-05-13 22:05:00,13,4686.16,4678.76,7.399999999999636,12,12,1.0,bull|buy_trigger
2026-05-13 21:54:00,2026-05-13 22:06:00,13,4686.16,4678.76,7.399999999999636,12,12,1.0,bear|doji|inside|bull_reversal
2026-05-13 21:55:00,2026-05-13 22:07:00,13,4687.08,4678.76,8.319999999999709,12,12,1.0,bull|doji|outside|bull_reversal|buy_trigger|sell_trigger
2026-05-13 21:56:00,2026-05-13 22:08:00,13,4687.84,4678.76,9.079999999999927,12,12,1.0,bear|inside|bull_reversal
2026-05-13 21:57:00,2026-05-13 22:09:00,13,4688.84,4678.76,10.079999999999927,12,12,1.0,bull|doji|bear_reversal|buy_trigger
2026-05-13 22:00:00,2026-05-13 22:12:00,13,4691.02,4678.76,12.260000000000218,12,12,1.0,bull|outside|bull_reversal|buy_trigger|sell_trigger
2026-05-13 22:02:00,2026-05-13 22:14:00,13,4691.02,4681.82,9.200000000000728,12,12,1.0,bull|bull_breakout_bar|buy_trigger
2026-05-13 22:03:00,2026-05-13 22:15:00,13,4691.02,4681.82,9.200000000000728,12,12,1.0,bear|bear_reversal|buy_trigger
2026-05-13 22:04:00,2026-05-13 22:16:00,13,4691.02,4681.82,9.200000000000728,12,12,1.0,bear|bull_reversal|sell_trigger
2026-05-13 22:05:00,2026-05-13 22:17:00,13,4691.02,4681.82,9.200000000000728,12,12,1.0,bear|bear_breakout_bar|sell_trigger
2026-05-13 22:06:00,2026-05-13 22:18:00,13,4691.02,4682.18,8.840000000000146,12,12,1.0,bull|bull_breakout_bar|buy_trigger
2026-05-13 22:07:00,2026-05-13 22:19:00,13,4691.02,4684.58,6.440000000000509,12,12,1.0,bull|bear_reversal|buy_trigger
2026-05-13 22:09:00,2026-05-13 22:21:00,13,4691.02,4684.95,6.0700000000006185,12,12,1.0,bull|bull_reversal|buy_trigger
2026-05-13 22:10:00,2026-05-13 22:22:00,13,4691.02,4684.95,6.0700000000006185,12,12,1.0,bull|bear_reversal|buy_trigger
2026-05-13 22:11:00,2026-05-13 22:23:00,13,4690.15,4684.95,5.199999999999818,12,12,1.0,bear|bear_breakout_bar|sell_trigger
2026-05-13 22:12:00,2026-05-13 22:24:00,13,4690.15,4684.95,5.199999999999818,12,12,1.0,bull|inside|bear_reversal
2026-05-13 22:13:00,2026-05-13 22:25:00,13,4690.15,4684.95,5.199999999999818,12,12,1.0,bull|outside|bull_breakout_bar|buy_trigger|sell_trigger
2026-05-13 22:15:00,2026-05-13 22:27:00,13,4690.45,4684.95,5.5,12,12,1.0,bull|doji|bull_reversal|sell_trigger
2026-05-13 22:17:00,2026-05-13 22:29:00,13,4692.05,4684.95,7.100000000000364,12,12,1.0,bull|doji|inside|bear_reversal
2026-05-13 22:20:00,2026-05-13 22:32:00,13,4692.06,4684.95,7.110000000000582,12,12,1.0,bear|outside|buy_trigger|sell_trigger
2026-05-13 22:21:00,2026-05-13 22:33:00,13,4693.71,4685.66,8.050000000000182,12,12,1.0,bull|inside|bull_reversal
2026-05-13 22:23:00,2026-05-13 22:35:00,13,4696.33,4686.66,9.670000000000073,12,12,1.0,bull|bull_breakout_bar|buy_trigger
2026-05-13 22:24:00,2026-05-13 22:36:00,13,4697.26,4686.66,10.600000000000364,12,12,1.0,bear|bear_breakout_bar|sell_trigger
2026-05-13 22:25:00,2026-05-13 22:37:00,13,4698.52,4686.66,11.860000000000582,12,12,1.0,bull|doji|bear_reversal|sell_trigger
2026-05-13 22:27:00,2026-05-13 22:39:00,13,4699.21,4686.66,12.550000000000182,12,12,1.0,bear|doji|bull_reversal|sell_trigger
2026-05-13 22:28:00,2026-05-13 22:40:00,13,4699.84,4686.66,13.180000000000291,12,12,1.0,bull|doji|bear_reversal|buy_trigger
2026-05-13 22:30:00,2026-05-13 22:42:00,13,4699.84,4686.66,13.180000000000291,12,12,1.0,bear|bull_reversal|sell_trigger
2026-05-13 22:32:00,2026-05-13 22:44:00,13,4700.41,4689.39,11.019999999999527,12,12,1.0,bear|doji|bear_reversal|buy_trigger
2026-05-13 22:35:00,2026-05-13 22:47:00,13,4700.41,4694.48,5.930000000000291,12,12,1.0,bull|doji|bull_reversal|buy_trigger
2026-05-13 22:36:00,2026-05-13 22:48:00,13,4700.41,4695.4,5.010000000000218,12,12,1.0,bull|bear_reversal|buy_trigger
2026-05-13 22:37:00,2026-05-13 22:49:00,13,4700.41,4696.32,4.0900000000001455,12,12,1.0,bull|bull_breakout_bar|buy_trigger
2026-05-13 22:38:00,2026-05-13 22:50:00,13,4700.41,4696.46,3.949999999999818,12,12,1.0,bear|bear_reversal|buy_trigger
2026-05-13 22:40:00,2026-05-13 22:52:00,13,4700.41,4695.79,4.619999999999891,12,12,1.0,bear|bear_reversal|buy_trigger
2026-05-13 22:43:00,2026-05-13 22:55:00,13,4700.41,4694.59,5.819999999999709,12,12,1.0,bull|doji|bear_reversal|buy_trigger
2026-05-13 22:44:00,2026-05-13 22:56:00,13,4699.73,4694.59,5.139999999999418,12,12,1.0,bull|doji|inside|bull_reversal
2026-05-13 22:45:00,2026-05-13 22:57:00,13,4699.73,4694.59,5.139999999999418,12,12,1.0,bear|outside|bull_reversal|sell_trigger
2026-05-13 22:46:00,2026-05-13 22:58:00,13,4699.58,4694.59,4.989999999999782,12,12,1.0,bull|doji|inside|bear_reversal
