29) 2026-05-13 21:13:00 -> 2026-05-13 21:16:00 | bars=4 | absolute_overlap_ttr_candidate | score=0.593 | adj=0.739 | body_adj=0.351 | eff=0.473 | range_units=1.63 | slope_u/bar=-0.117 | new_ext=0.333 | anchor=doji_after_consecutive_pressure | H=4683.30 L=4678.75
30) 2026-05-13 21:25:00 -> 2026-05-13 21:44:00 | bars=20 | stair_overlap_ttr_candidate | score=0.718 | adj=0.734 | body_adj=0.375 | eff=0.013 | range_units=4.35 | slope_u/bar=0.054 | new_ext=0.263 | anchor=anchor_after_consecutive_pressure | H=4691.16 L=4681.11
31) 2026-05-13 21:26:00 -> 2026-05-13 21:30:00 | bars=5 | absolute_overlap_ttr_candidate | score=0.675 | adj=0.825 | body_adj=0.207 | eff=0.191 | range_units=1.47 | slope_u/bar=0.066 | new_ext=0.500 | anchor=doji_after_consecutive_pressure | H=4685.64 L=4683.06
32) 2026-05-13 21:31:00 -> 2026-05-13 21:36:00 | bars=6 | absolute_overlap_ttr_candidate | score=0.664 | adj=0.844 | body_adj=0.489 | eff=0.203 | range_units=2.43 | slope_u/bar=-0.004 | new_ext=0.600 | anchor=climax_anchor_bar_not_strong_breakout_close | H=4691.16 L=4683.74
33) 2026-05-13 21:38:00 -> 2026-05-13 21:43:00 | bars=6 | absolute_overlap_ttr_candidate | score=0.750 | adj=0.859 | body_adj=0.543 | eff=0.004 | range_units=1.73 | slope_u/bar=0.020 | new_ext=0.600 | anchor=doji_after_consecutive_pressure | H=4688.64 L=4684.95
34) 2026-05-13 21:41:00 -> 2026-05-13 21:43:00 | bars=3 | absolute_overlap_ttr_candidate | score=0.836 | adj=0.981 | body_adj=1.000 | eff=0.118 | range_units=1.44 | slope_u/bar=0.079 | new_ext=0.000 | anchor=anchor_after_consecutive_pressure | H=4688.64 L=4685.56
35) 2026-05-13 21:47:00 -> 2026-05-13 22:20:00 | bars=34 | stair_overlap_ttr_candidate | score=0.676 | adj=0.631 | body_adj=0.473 | eff=0.064 | range_units=5.48 | slope_u/bar=0.109 | new_ext=0.242 | anchor=anchor_after_consecutive_pressure | H=4691.02 L=4678.25
36) 2026-05-13 21:48:00 -> 2026-05-13 21:53:00 | bars=6 | absolute_overlap_ttr_candidate | score=0.550 | adj=0.535 | body_adj=0.481 | eff=0.110 | range_units=3.08 | slope_u/bar=-0.028 | new_ext=0.600 | anchor=after_up_breakout_separator | H=4684.79 L=4678.25
37) 2026-05-13 21:54:00 -> 2026-05-13 22:00:00 | bars=7 | absolute_overlap_ttr_candidate | score=0.668 | adj=0.670 | body_adj=0.546 | eff=0.100 | range_units=1.83 | slope_u/bar=-0.068 | new_ext=0.500 | anchor=doji_after_consecutive_pressure | H=4683.47 L=4678.76
38) 2026-05-13 22:03:00 -> 2026-05-13 22:32:00 | bars=30 | stair_overlap_ttr_candidate | score=0.661 | adj=0.636 | body_adj=0.414 | eff=0.172 | range_units=4.53 | slope_u/bar=0.081 | new_ext=0.310 | anchor=anchor_after_consecutive_pressure | H=4692.06 L=4681.82
